Heure	Symbole	Prix	Volume
21:37:17	AAPL	281.81	100
21:37:17	AAPL	281.81	100
21:37:16	OANDA:EUR_USD	1.1608049999999999	0
21:37:16	OANDA:EUR_USD	1.160815	0
21:37:14	OANDA:EUR_USD	1.1608100000000001	0
21:37:14	OANDA:EUR_USD	1.1608049999999999	0
21:37:13	AAPL	281.8	100
21:37:13	AAPL	281.8	100
21:37:13	AAPL	281.78	100
21:37:13	AAPL	281.78	100
21:37:12	AAPL	281.755	100
21:37:12	AAPL	281.755	100
21:37:10	OANDA:EUR_USD	1.16082	0
21:37:09	OANDA:EUR_USD	1.16082	0
21:37:09	OANDA:EUR_USD	1.160815	0
21:37:09	OANDA:EUR_USD	1.160815	0
21:37:08	AAPL	281.75	192
21:37:08	AAPL	281.75	200
21:37:08	AAPL	281.75	200
21:37:08	AAPL	281.75	192
21:37:08	AAPL	281.75	200
21:37:08	AAPL	281.75	200
21:37:08	OANDA:EUR_USD	1.16082	0
21:37:07	OANDA:EUR_USD	1.160815	0
21:37:05	OANDA:EUR_USD	1.16082	0
21:37:03	OANDA:EUR_USD	1.160815	0
21:37:02	AAPL	281.79	200
21:37:02	AAPL	281.79	200
21:37:01	AAPL	281.8	400
21:37:01	AAPL	281.8	400
21:37:00	OANDA:EUR_USD	1.16083	0
21:37:00	AAPL	281.81	100
21:37:00	AAPL	281.81	100
21:37:00	OANDA:EUR_USD	1.1608100000000001	0
21:36:57	AAPL	281.79	200
21:36:57	AAPL	281.79	200
21:36:56	AAPL	281.79	179
21:36:56	AAPL	281.79	200
21:36:56	AAPL	281.79	179
21:36:56	AAPL	281.79	200
21:36:47	OANDA:EUR_USD	1.160825	0
