time,EURUSD,GBPUSD,USDJPY,USDCHF,EURJPY,GBPJPY,EURGBP
2025-12-15 19:23:03.555576,1.17413,1.33637,155.341,0.79704,182.378,207.58,0.87856
2025-12-15 19:23:04.590738,1.17414,1.33637,155.341,0.79703,182.379,207.596,0.87856
2025-12-15 19:23:05.594300,1.17414,1.33642,155.34,0.79703,182.378,207.596,0.87856
2025-12-15 19:23:06.598897,1.17414,1.33642,155.341,0.79703,182.379,207.581,0.87856
2025-12-15 19:23:07.603160,1.17414,1.33638,155.341,0.79703,182.377,207.595,0.87856
2025-12-15 19:23:08.605939,1.17414,1.33638,155.34,0.79703,182.378,207.595,0.87856
2025-12-15 19:23:10.612463,1.17419,1.33639,155.338,0.79702,182.383,207.598,0.87856
2025-12-15 19:23:11.617342,1.17424,1.33642,155.336,0.79701,182.389,207.598,0.87858
2025-12-15 19:23:12.622913,1.17425,1.33643,155.336,0.79699,182.391,207.605,0.87858
2025-12-15 19:23:13.627308,1.17425,1.33646,155.337,0.79699,182.388,207.606,0.87858
2025-12-15 19:23:14.630749,1.17425,1.33647,155.338,0.79699,182.389,207.605,0.87858
2025-12-15 19:23:15.634781,1.17425,1.33646,155.338,0.79699,182.389,207.606,0.87858
2025-12-15 19:23:16.639706,1.17425,1.33646,155.336,0.79699,182.387,207.605,0.87858
2025-12-15 19:23:17.642728,1.17425,1.33646,155.337,0.79699,182.389,207.604,0.87858
2025-12-15 19:23:18.647173,1.17425,1.33646,155.336,0.79699,182.389,207.604,0.87858
2025-12-15 19:23:19.651488,1.17425,1.33646,155.336,0.79699,182.39,207.603,0.87858
2025-12-15 19:23:20.655112,1.17424,1.33646,155.336,0.79699,182.389,207.604,0.87858
2025-12-15 19:23:21.660178,1.17424,1.33646,155.337,0.79699,182.389,207.604,0.87858
2025-12-15 19:23:23.666750,1.17424,1.33646,155.336,0.79698,182.39,207.589,0.87858
2025-12-15 19:23:24.670015,1.17424,1.33646,155.339,0.79699,182.393,207.592,0.87857
2025-12-15 19:23:25.674759,1.17424,1.33646,155.339,0.79699,182.393,207.591,0.87857
2025-12-15 19:23:26.678387,1.17424,1.33646,155.341,0.79699,182.395,207.595,0.87858
2025-12-15 19:23:27.680958,1.17424,1.33648,155.341,0.79699,182.395,207.597,0.87857
